quarter,ticker,market_value_100m,shares_million
2025Q3,002050,5.54,114.3
2025Q4,002050,5.19,93.8
2025Q3,000651,4.22,106.4
2025Q4,000651,5.10,126.9
2025Q3,000333,4.58,63.1
2025Q4,000333,4.93,63.1
2025Q3,600690,4.84,190.9
2025Q4,600690,4.29,164.5
2025Q3,605117,2.41,29.8
2025Q4,605117,1.55,18.0
2025Q3,603486,1.97,18.3
2025Q4,603486,1.46,18.1
2025Q3,688169,2.42,11.5
2025Q4,688169,1.42,9.3
2025Q3,603195,1.19,26.5
2025Q4,603195,1.30,31.8
2025Q3,000921,1.02,39.1
2025Q4,000921,0.99,39.7
2025Q3,002508,0.84,43.9
2025Q4,002508,0.91,47.0
